ZScoreNorm_Cell_CD107a,ZScoreNorm_Cell_CD3,ZScoreNorm_Cell_CD45,ZScoreNorm_Cell_CD68,ZScoreNorm_Cell_CD86,ZScoreNorm_Cell_FerritinHC,ZScoreNorm_Cell_HLADR,ZScoreNorm_Cell_Mac2,ZScoreNorm_Cell_MerTK,ZScoreNorm_Cell_PLP,ZScoreNorm_Cell_S100B,ZScoreNorm_Cell_TIM3,ZScoreNorm_Cell_Vimentin,Phenograph3894194161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.462562246,-0.075558184,-0.596512238,-0.410009442,0.10628889,0.675874783,-0.070624806,-1.055355756,1.902139108,-0.652045243,-0.766046861,-0.613324939,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.114298684,-0.075558184,-0.303991971,-0.088994583,0.617044414,1.522614579,-0.836063576,-0.322856529,0.907313714,-0.253740423,-0.766046861,1.547607923,7.139732461,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00422739,-0.075558184,1.2571784,-0.295235719,0.610140387,1.11611061,0.690451526,0.850809877,1.895606186,-0.605191181,-0.699788834,0.040811354,-0.143418567,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.015469681,-0.075558184,-0.278789296,-0.295704988,0.218072436,0.30973482,-0.566611504,-0.171967175,0.254646631,-0.679479708,-0.766046861,-0.115995952,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.408095612,-0.075558184,-0.616707011,-0.607275426,0.858197378,0.153737389,0.366270768,-0.574464875,-0.130324815,-0.658952454,-0.373054668,0.688834909,1.508083111,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.150723106,-0.075558184,-0.414670517,-0.730304887,-0.242197894,1.35142895,0.64547252,-0.277779653,0.499163841,-0.62463306,-0.572979805,0.180592051,-0.140951575,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.281828132,-0.075558184,-0.555034352,-1.350422812,-0.290529651,1.0292637,0.808565196,1.986658537,-0.577929877,-0.330757157,1.703709721,-0.200536656,0.323291949,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.729189002,-0.075558184,-0.616707011,-1.597306525,-0.57073353,0.662696445,7.421285919,0.104392385,-0.884157464,0.883216539,1.534322798,-1.111507724,0.723930202,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.260464217,-0.075558184,-0.398441596,-0.029391493,-0.561116674,-0.10389393,-0.055320467,-1.011794069,0.965237957,0.303110067,-0.752471575,-0.966728956,-0.089062178,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.29821976,-0.075558184,-0.616707011,0.69720891,-1.036597873,0.047491801,-0.613794605,-1.313032047,-0.598095894,-0.280699358,-0.766046861,-1.512939476,-0.146125298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.555498022,-0.075558184,-0.574156152,0.61835615,-0.739268102,1.800639156,0.634483814,-0.98022763,-0.508542652,2.230371333,-0.760372197,-1.125711082,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.120187262,-0.075558184,-0.412009827,0.010257076,-0.247370977,0.862847275,0.149640302,-0.820247937,0.175315313,-0.679359486,-0.766046861,0.28343801,-0.146125298,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.03683342,-0.075558184,-0.58960437,-0.558366164,0.071607638,1.176309466,0.027171008,0.148692346,1.477302923,1.558334671,-0.599638652,-0.790270072,-0.146125298,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.104390303,-0.075558184,-0.431791021,0.517867178,-0.025313516,-0.025535566,0.560131145,-0.722257559,-0.366238763,-0.642787868,-0.754653674,1.261308699,-0.146125298,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.687055257,-0.075558184,-0.616707011,-1.746930213,-1.996616559,0.247151449,-0.859746899,-1.133898796,-1.298379882,1.851334441,1.792930135,-1.738098843,-0.146125298,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
